구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,7.0,7.0,7.0,7.0,7.0,7.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),135.0,171.0,193.0,214.0,240.0,234.0
정규직,일반 정규직,정원,(별도정원),1.0,2.0,2.0,1.0,3.0,1.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,128.75,163.25,188.5,207.18,233.55,222.8
정규직,일반 정규직,현원,전일제,128.0,161.0,187.0,202.0,231.0,222.0
정규직,일반 정규직,현원,단시간,0.75,2.25,1.5,5.18,2.55,0.8
정규직,무기 계약직,정원,계(C),44.0,44.0,47.0,54.0,56.0,56.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,42.0,41.5,38.75,42.85,45.88,47.0
정규직,무기 계약직,현원,전일제,42.0,40.0,38.0,42.0,45.0,47.0
정규직,무기 계약직,현원,단시간,0.0,1.5,0.75,0.85,0.88,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),180.0,216.0,241.0,269.0,297.0,291.0
