구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,0.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,2.0,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,비상임,4.0,4.0,4.0,4.0,3.0,4.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),4.0,4.0,4.0,4.0,4.0,4.0
정규직,일반 정규직,정원,계(B),8807.0,9207.0,9531.0,9812.0,9797.0,10298.0
정규직,일반 정규직,정원,(별도정원),2.0,2.0,26.0,307.0,292.0,362.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,8689.0,9017.0,9233.0,9451.0,9357.0,9858.0
정규직,일반 정규직,현원,전일제,8689.0,9017.0,9233.0,9451.0,9357.0,9858.0
정규직,일반 정규직,현원,단시간,0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,계(C),4060.0,4128.0,4163.0,4158.0,4164.0,3340.0
정규직,무기 계약직,정원,(별도정원),6.0,11.0,6.0,1.0,7.0,4.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,3287.01,3252.76,3246.63,3125.13,3103.75,2596.26
정규직,무기 계약직,현원,전일제,3129.0,3017.0,2968.0,2856.0,2842.0,2326.0
정규직,무기 계약직,현원,단시간,158.01,235.76,278.63,269.13,261.75,270.26
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),12871.0,13339.0,13698.0,13974.0,13965.0,13642.0
