구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1,1,1.0,1,1.0
임원,임원,기관장,상임 현원,1.0,1,1,1.0,1,1.0
임원,임원,기관장,비상임,0.0,0,0,0.0,0,0.0
임원,임원,이사,상임 정원,0.0,0,0,0.0,0,0.0
임원,임원,이사,상임 현원,0.0,0,0,0.0,0,0.0
임원,임원,이사,비상임,8.0,9,9,9.0,9,9.0
임원,임원,감사,상임 정원,0.0,0,0,0.0,0,0.0
임원,임원,감사,상임 현원,0.0,0,0,0.0,0,0.0
임원,임원,감사,비상임,2.0,2,1,1.0,1,1.0
임원,임원,기타,기타,0.0,0,0,0.0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1,1,1.0,1,1.0
정규직,일반 정규직,정원,계(B),135.0,167,181,188.0,179,179.0
정규직,일반 정규직,정원,(별도정원),2.0,2,0,0.0,0,0.0
정규직,일반 정규직,정원,(탄력정원),0.0,0,0,0.0,0,0.0
정규직,일반 정규직,현원,계,127.75,156,170,179.63,176,164.75
정규직,일반 정규직,현원,전일제,127.0,156,170,178.0,176,164.0
정규직,일반 정규직,현원,단시간,0.75,0,0,1.63,0,0.75
정규직,무기 계약직,정원,계(C),34.0,34,49,53.0,53,53.0
정규직,무기 계약직,정원,(별도정원),0.0,0,0,0.0,0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0,0,0.0,0,0.0
정규직,무기 계약직,현원,계,24.0,28,42,50.0,51,51.0
정규직,무기 계약직,현원,전일제,24.0,28,42,50.0,51,51.0
정규직,무기 계약직,현원,단시간,0.0,0,0,0.0,0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),170.0,202,231,242.0,233,233.0
