구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,0.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,10.0,10.0,10.0,10.0,10.0,6.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2.0,2.0,2.0,2.0,2.0
정규직,일반 정규직,정원,계(B),2457.0,3500.0,3781.0,4638.0,4876.0,4933.0
정규직,일반 정규직,정원,(별도정원),21.0,24.0,27.0,25.0,17.0,18.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,2040.25,2463.5,3059.75,3866.88,4486.5,4489.38
정규직,일반 정규직,현원,전일제,2035.0,2459.0,3050.0,3854.13,4476.0,4481.0
정규직,일반 정규직,현원,단시간,5.25,4.5,9.75,12.75,10.5,8.38
정규직,무기 계약직,정원,계(C),730.6,730.6,730.6,218.6,131.6,131.6
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,698.5,528.5,781.63,493.0,116.75,107.75
정규직,무기 계약직,현원,전일제,697.0,525.0,780.0,492.0,113.0,103.0
정규직,무기 계약직,현원,단시간,1.5,3.5,1.63,1.0,3.75,4.75
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),3189.6,4232.6,4513.6,4858.6,5009.6,5066.6
