구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,0.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,2.0,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,상임 현원,2.0,2.0,2.0,1.0,0.0,2.0
임원,임원,이사,비상임,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,2.0,2.0,2.0,2.0,2.0,2.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),3.0,3.0,3.0,3.0,3.0,3.0
정규직,일반 정규직,정원,계(B),984.0,1111.0,1110.0,1112.0,1110.0,1090.0
정규직,일반 정규직,정원,(별도정원),0.0,1.0,0.0,2.0,0.0,1.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,849.0,969.0,931.75,911.75,897.75,910.75
정규직,일반 정규직,현원,전일제,849.0,969.0,931.0,911.0,897.0,910.0
정규직,일반 정규직,현원,단시간,0.0,0.0,0.75,0.75,0.75,0.75
정규직,무기 계약직,정원,계(C),78.0,290.0,290.0,290.0,290.0,210.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,97.15,222.5,153.0,118.88,119.25,158.63
정규직,무기 계약직,현원,전일제,90.0,216.0,145.0,112.0,112.0,151.0
정규직,무기 계약직,현원,단시간,7.15,6.5,8.0,6.88,7.25,7.63
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1065.0,1404.0,1403.0,1405.0,1403.0,1303.0
