구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,상임 현원,2.0,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,비상임,3.0,2.0,3.0,3.0,3.0,3.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),4.0,4.0,4.0,4.0,4.0,4.0
정규직,일반 정규직,정원,계(B),126.0,126.0,127.0,127.0,127.0,118.0
정규직,일반 정규직,정원,(별도정원),1.0,1.0,2.0,2.0,2.0,1.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,110.0,113.0,126.0,120.88,120.25,119.8
정규직,일반 정규직,현원,전일제,110.0,113.0,126.0,119.0,119.0,118.0
정규직,일반 정규직,현원,단시간,0.0,0.0,0.0,1.88,1.25,1.8
정규직,무기 계약직,정원,계(C),1757.8,1784.8,1784.8,1784.8,1784.8,1557.2
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,1228.8,1247.95,1365.96,1484.28,1553.9,1353.18
정규직,무기 계약직,현원,전일제,1216.0,1236.0,1353.48,1462.0,1530.0,1327.0
정규직,무기 계약직,현원,단시간,12.8,11.95,12.48,22.28,23.9,26.18
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1887.8,1914.8,1915.8,1915.8,1915.8,1679.2
