구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1,1,1,1
임원,임원,기관장,상임 현원,1,1,1,1,1,1
임원,임원,기관장,비상임,0,0,0,0,0,0
임원,임원,이사,상임 정원,3,3,3,3,3,3
임원,임원,이사,상임 현원,3,3,3,3,2,3
임원,임원,이사,비상임,3,3,3,3,3,3
임원,임원,감사,상임 정원,0,0,0,0,0,0
임원,임원,감사,상임 현원,0,0,0,0,0,0
임원,임원,감사,비상임,1,1,1,1,1,1
임원,임원,기타,기타,0,0,0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),4,4,4,4,4,4
정규직,일반 정규직,정원,계(B),357,365,381,384,384,376
정규직,일반 정규직,정원,(별도정원),7,11,12,14,14,18
정규직,일반 정규직,정원,(탄력정원),0,0,0,0,0,0
정규직,일반 정규직,현원,계,337,337,350,345,326,339
정규직,일반 정규직,현원,전일제,337,337,350,345,326,339
정규직,일반 정규직,현원,단시간,0,0,0,0,0,0
정규직,무기 계약직,정원,계(C),117,119,119,119,119,102
정규직,무기 계약직,정원,(별도정원),0,0,0,0,0,1
정규직,무기 계약직,정원,(탄력정원),0,0,0,0,0,0
정규직,무기 계약직,현원,계,112,101,100,101,91,84
정규직,무기 계약직,현원,전일제,112,101,100,101,91,84
정규직,무기 계약직,현원,단시간,0,0,0,0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),478,488,504,507,507,482
