구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1,1.0,0.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0,0.0,0.0
임원,임원,이사,상임 정원,1.0,2.0,2.0,2,2.0,2.0
임원,임원,이사,상임 현원,1.0,1.0,2.0,2,2.0,2.0
임원,임원,이사,비상임,11.0,12.0,12.0,12,11.0,12.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0,0.0,0.0
임원,임원,감사,비상임,1.0,2.0,2.0,2,2.0,2.0
임원,임원,기타,기타,0.0,0.0,0.0,0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,3.0,3.0,3,3.0,3.0
정규직,일반 정규직,정원,계(B),1869.0,1868.0,1892.0,1897,1923.0,1902.0
정규직,일반 정규직,정원,(별도정원),16.0,2.0,3.0,5,10.0,16.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0,0.0,0.0
정규직,일반 정규직,현원,계,1706.5,1705.5,1654.5,1657,1662.5,1678.5
정규직,일반 정규직,현원,전일제,1704.0,1703.0,1652.0,1655,1661.0,1677.0
정규직,일반 정규직,현원,단시간,2.5,2.5,2.5,2,1.5,1.5
정규직,무기 계약직,정원,계(C),793.0,806.0,827.0,830,830.0,830.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0,0.0,0.0
정규직,무기 계약직,현원,계,788.0,726.0,791.0,795,797.0,799.0
정규직,무기 계약직,현원,전일제,788.0,726.0,791.0,795,797.0,799.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0.0,0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),2664.0,2677.0,2722.0,2730,2756.0,2735.0
