구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1,1.0,1.0
임원,임원,기관장,상임 현원,0.0,1.0,1.0,1,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0,0.0,0.0
임원,임원,이사,상임 정원,6.0,6.0,6.0,6,6.0,5.0
임원,임원,이사,상임 현원,3.0,3.0,3.0,3,3.0,3.0
임원,임원,이사,비상임,8.0,8.0,8.0,8,8.0,8.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0,0.0,0.0
임원,임원,감사,비상임,0.0,0.0,0.0,0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),7.0,7.0,7.0,7,7.0,6.0
정규직,일반 정규직,정원,계(B),4110.0,4261.0,4263.0,4315,4313.0,4223.0
정규직,일반 정규직,정원,(별도정원),152.0,155.0,141.0,146,126.0,137.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0,0.0,0.0
정규직,일반 정규직,현원,계,4038.23,4218.88,4221.35,4232,4176.38,4100.63
정규직,일반 정규직,현원,전일제,4027.0,4209.0,4209.0,4219,4170.0,4092.0
정규직,일반 정규직,현원,단시간,11.23,9.88,12.35,13,6.38,8.63
정규직,무기 계약직,정원,계(C),4.0,4.0,4.0,0,0.0,0.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0,0.0,0.0
정규직,무기 계약직,현원,계,0.0,0.0,0.0,0,0.0,0.0
정규직,무기 계약직,현원,전일제,0.0,0.0,0.0,0,0.0,0.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0.0,0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),4121.0,4272.0,4274.0,4322,4320.0,4229.0
