구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,상임 현원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,비상임,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),5.0,5.0,5.0,5.0,5.0,5.0
정규직,일반 정규직,정원,계(B),1395.0,1505.0,1517.0,1575.0,1619.0,1599.0
정규직,일반 정규직,정원,(별도정원),30.0,42.0,37.0,40.0,44.0,49.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,1382.5,1491.38,1502.63,1560.63,1537.63,1562.5
정규직,일반 정규직,현원,전일제,1376.0,1475.0,1484.0,1544.0,1520.0,1526.0
정규직,일반 정규직,현원,단시간,6.5,16.375,18.625,16.625,17.625,36.5
정규직,무기 계약직,정원,계(C),13.0,35.5,128.5,128.5,133.5,109.5
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,14.0,20.88,122.0,122.0,116.38,105.88
정규직,무기 계약직,현원,전일제,14.0,16.0,115.0,113.0,110.0,98.0
정규직,무기 계약직,현원,단시간,0.0,4.875,7.0,9.0,6.375,7.875
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1413.0,1545.5,1650.5,1708.5,1757.5,1713.5
