구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),412.0,444.0,425.0,434.0,438.0,439.0
정규직,일반 정규직,정원,(별도정원),4.0,4.0,4.0,5.0,7.0,8.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,375.6,377.6,386.6,398.6,401.6,410.1
정규직,일반 정규직,현원,전일제,375.0,377.0,386.0,398.0,401.0,408.0
정규직,일반 정규직,현원,단시간,0.6,0.6,0.6,0.6,0.6,2.1
정규직,무기 계약직,정원,계(C),35.0,35.0,34.0,33.0,33.0,32.0
정규직,무기 계약직,정원,(별도정원),2.0,2.0,1.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,37.0,36.0,63.0,63.0,56.0,59.0
정규직,무기 계약직,현원,전일제,37.0,36.0,63.0,63.0,56.0,59.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0.0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),448.0,480.0,460.0,468.0,472.0,472.0
