구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,0.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,비상임,11.0,10.0,11.0,11.0,11.0,11.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2.0,2.0,2.0,2.0,2.0
정규직,일반 정규직,정원,계(B),122.0,125.0,125.0,125.0,128.0,128.0
정규직,일반 정규직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,2.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,115.75,118.63,113.75,119.63,115.88,115.93
정규직,일반 정규직,현원,전일제,111.0,115.0,111.0,112.0,110.0,109.0
정규직,일반 정규직,현원,단시간,4.75,3.63,2.75,7.63,5.875,6.925
정규직,무기 계약직,정원,계(C),57.0,57.0,57.0,57.0,57.0,52.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,50.75,49.5,51.0,53.63,55.75,51.75
정규직,무기 계약직,현원,전일제,50.0,49.0,51.0,52.0,55.0,51.0
정규직,무기 계약직,현원,단시간,0.75,0.5,0.0,1.63,0.75,0.75
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),181.0,184.0,184.0,184.0,187.0,182.0
