구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1,1,1
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1,1,1
임원,임원,기관장,비상임,0.0,0.0,0.0,0,0,0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0,0,0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0,0,0
임원,임원,이사,비상임,0.0,0.0,0.0,0,0,0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0,0,0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0,0,0
임원,임원,감사,비상임,1.0,1.0,1.0,0,0,0
임원,임원,기타,기타,0.0,0.0,0.0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1,1,1
정규직,일반 정규직,정원,계(B),654.0,670.0,667.0,673,677,676
정규직,일반 정규직,정원,(별도정원),5.0,13.0,6.0,6,8,7
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0,0,0
정규직,일반 정규직,현원,계,640.88,660.69,652.75,660,652,660
정규직,일반 정규직,현원,전일제,638.0,660.0,652.0,660,652,660
정규직,일반 정규직,현원,단시간,2.88,0.69,0.75,0,0,0
정규직,무기 계약직,정원,계(C),0.0,22.0,22.0,22,22,22
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0,0,0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0,0,0
정규직,무기 계약직,현원,계,0.0,22.0,22.0,20,22,20
정규직,무기 계약직,현원,전일제,0.0,22.0,22.0,20,22,20
정규직,무기 계약직,현원,단시간,0.0,0.0,0.0,0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),655.0,693.0,690.0,696,700,699
