구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0,0.0,0.0,0.0
임원,임원,이사,상임 정원,1.0,1.0,1,1.0,1.0,1.0
임원,임원,이사,상임 현원,1.0,1.0,1,1.0,1.0,1.0
임원,임원,이사,비상임,5.0,5.0,5,5.0,5.0,5.0
임원,임원,감사,상임 정원,0.0,0.0,0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2.0,2,2.0,2.0,2.0
정규직,일반 정규직,정원,계(B),63.0,73.0,75,86.0,97.0,99.0
정규직,일반 정규직,정원,(별도정원),0.0,0.0,0,0.0,1.0,0.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,63.0,68.0,70,85.0,93.38,94.13
정규직,일반 정규직,현원,전일제,63.0,68.0,70,85.0,92.0,92.0
정규직,일반 정규직,현원,단시간,0.0,0.0,0,0.0,1.38,2.13
정규직,무기 계약직,정원,계(C),15.0,17.0,17,17.0,17.0,12.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,13.63,10.63,15,11.75,13.25,14.0
정규직,무기 계약직,현원,전일제,13.0,10.0,15,11.0,11.0,13.0
정규직,무기 계약직,현원,단시간,0.63,0.63,0,0.75,2.25,1.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),80.0,92.0,94,105.0,116.0,113.0
