구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1,1,1,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1,1,1,1.0
임원,임원,기관장,비상임,0.0,0.0,0,0,0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0,0,0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0,0,0,0.0
임원,임원,이사,비상임,0.0,0.0,0,0,0,0.0
임원,임원,감사,상임 정원,0.0,0.0,0,0,0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0,0,0,0.0
임원,임원,감사,비상임,1.0,1.0,1,1,0,0.0
임원,임원,기타,기타,0.0,0.0,0,0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1,1,1,1.0
정규직,일반 정규직,정원,계(B),478.0,480.0,486,483,484,487.0
정규직,일반 정규직,정원,(별도정원),6.0,6.0,7,4,5,11.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0,0,0,0.0
정규직,일반 정규직,현원,계,445.13,449.63,467,464,471,473.75
정규직,일반 정규직,현원,전일제,444.0,449.0,467,464,471,473.0
정규직,일반 정규직,현원,단시간,1.13,0.63,0,0,0,0.75
정규직,무기 계약직,정원,계(C),45.0,48.0,48,80,80,78.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0,0,0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0,0,0,0.0
정규직,무기 계약직,현원,계,33.0,44.0,47,44,75,154.0
정규직,무기 계약직,현원,전일제,33.0,44.0,47,44,75,77.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0,0,0,77.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),524.0,529.0,535,564,565,566.0
