구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,0.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,8.0,8.0,8.0,8.0,8.0,7.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),142.0,144.0,144.0,145.0,144.0,146.0
정규직,일반 정규직,정원,(별도정원),1.0,0.0,0.0,1.0,0.0,2.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,128.63,121.75,123.63,132.5,136.25,132.63
정규직,일반 정규직,현원,전일제,127.0,118.0,119.0,131.0,135.0,131.0
정규직,일반 정규직,현원,단시간,1.63,3.75,4.63,1.5,1.25,1.63
정규직,무기 계약직,정원,계(C),38.8,38.8,38.8,38.8,38.8,34.8
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,38.75,35.75,27.75,28.0,31.0,31.0
정규직,무기 계약직,현원,전일제,38.0,35.0,25.0,27.0,31.0,31.0
정규직,무기 계약직,현원,단시간,0.75,0.75,2.75,1.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),181.8,183.8,183.8,184.8,183.8,181.8
