구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,상임 현원,3.0,3.0,3.0,3.0,3.0,2.0
임원,임원,이사,비상임,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),5.0,5.0,5.0,5.0,5.0,5.0
정규직,일반 정규직,정원,계(B),618.0,644.0,659.0,672.0,686.0,681.0
정규직,일반 정규직,정원,(별도정원),12.0,14.0,15.0,15.0,22.0,30.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,577.5,627.63,640.38,647.75,662.75,665.5
정규직,일반 정규직,현원,전일제,576.0,627.0,639.0,647.0,659.0,664.0
정규직,일반 정규직,현원,단시간,1.5,0.63,1.38,0.75,3.75,1.5
정규직,무기 계약직,정원,계(C),74.0,82.0,82.0,82.0,82.0,80.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,62.0,72.5,72.5,73.0,73.5,70.0
정규직,무기 계약직,현원,전일제,59.0,71.0,71.0,70.0,69.0,67.0
정규직,무기 계약직,현원,단시간,3.0,1.5,1.5,3.0,4.5,3.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),697.0,731.0,746.0,759.0,773.0,766.0
