구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,2.0,2.0,2.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,6.0,6.0,6.0,4.0,4.0,4.0
임원,임원,이사,상임 현원,4.0,5.0,5.0,4.0,4.0,4.0
임원,임원,이사,비상임,11.0,11.0,11.0,5.0,6.0,6.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),8.0,8.0,8.0,5.0,5.0,5.0
정규직,일반 정규직,정원,계(B),782.0,723.0,709.0,668.0,669.0,670.0
정규직,일반 정규직,정원,(별도정원),20.0,16.0,14.0,14.0,15.0,19.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,697.35,663.58,644.23,614.0,607.0,607.0
정규직,일반 정규직,현원,전일제,692.0,650.0,637.0,613.0,606.0,606.0
정규직,일반 정규직,현원,단시간,5.35,13.575,7.225,1.0,1.0,1.0
정규직,무기 계약직,정원,계(C),72.0,133.875,133.875,133.875,133.875,133.875
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,64.3,57.38,102.5,96.0,117.95,115.05
정규직,무기 계약직,현원,전일제,64.0,57.0,101.0,96.0,117.0,114.0
정규직,무기 계약직,현원,단시간,0.3,0.375,1.5,0.0,0.95,1.05
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),862.0,864.88,850.88,806.88,807.88,808.88
