구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1,1.0,1.0,1,1.0
임원,임원,기관장,상임 현원,1.0,1,0.0,1.0,1,1.0
임원,임원,기관장,비상임,0.0,0,0.0,0.0,0,0.0
임원,임원,이사,상임 정원,0.0,0,0.0,0.0,0,0.0
임원,임원,이사,상임 현원,0.0,0,0.0,0.0,0,0.0
임원,임원,이사,비상임,10.0,10,10.0,10.0,10,10.0
임원,임원,감사,상임 정원,0.0,0,0.0,0.0,0,0.0
임원,임원,감사,상임 현원,0.0,0,0.0,0.0,0,0.0
임원,임원,감사,비상임,1.0,1,1.0,1.0,1,1.0
임원,임원,기타,기타,0.0,0,0.0,0.0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1,1.0,1.0,1,1.0
정규직,일반 정규직,정원,계(B),229.0,239,246.0,255.0,259,257.0
정규직,일반 정규직,정원,(별도정원),2.0,2,4.0,8.0,7,6.0
정규직,일반 정규직,정원,(탄력정원),0.0,0,0.0,0.0,0,0.0
정규직,일반 정규직,현원,계,223.0,233,238.0,239.0,238,235.0
정규직,일반 정규직,현원,전일제,223.0,233,238.0,239.0,238,235.0
정규직,일반 정규직,현원,단시간,0.0,0,0.0,0.0,0,0.0
정규직,무기 계약직,정원,계(C),253.0,252,252.0,253.0,258,254.0
정규직,무기 계약직,정원,(별도정원),1.0,0,0.0,1.0,1,2.0
정규직,무기 계약직,정원,(탄력정원),0.0,0,0.0,0.0,0,0.0
정규직,무기 계약직,현원,계,241.68,240,243.75,239.63,245,239.68
정규직,무기 계약직,현원,전일제,241.0,240,243.0,238.0,245,239.0
정규직,무기 계약직,현원,단시간,0.68,0,0.75,1.63,0,0.68
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),483.0,492,499.0,509.0,518,512.0
