구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,2.0,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,상임 현원,2.0,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,비상임,5.0,6.0,6.0,6.0,6.0,6.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),3.0,3.0,3.0,3.0,3.0,3.0
정규직,일반 정규직,정원,계(B),118.0,121.0,125.0,127.0,129.0,125.0
정규직,일반 정규직,정원,(별도정원),1.0,0.0,1.0,3.0,3.0,1.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,115.5,111.0,119.0,123.0,121.0,119.0
정규직,일반 정규직,현원,전일제,115.0,111.0,119.0,123.0,121.0,119.0
정규직,일반 정규직,현원,단시간,0.5,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,계(C),22.0,22.0,22.0,22.0,22.0,20.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,16.13,21.75,19.5,20.5,16.5,17.5
정규직,무기 계약직,현원,전일제,15.0,20.0,19.0,20.0,16.0,17.0
정규직,무기 계약직,현원,단시간,1.13,1.75,0.5,0.5,0.5,0.5
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),143.0,146.0,150.0,152.0,154.0,148.0
