구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,0.0,0.0,0.0,0,0,1.0
임원,임원,기관장,상임 현원,0.0,0.0,0.0,0,0,0.0
임원,임원,기관장,비상임,1.0,1.0,1.0,1,1,0.0
임원,임원,이사,상임 정원,1.0,1.0,1.0,1,1,1.0
임원,임원,이사,상임 현원,1.0,1.0,1.0,1,1,0.0
임원,임원,이사,비상임,13.0,13.0,13.0,13,13,13.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0,0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0,0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1,1,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1,1,2.0
정규직,일반 정규직,정원,계(B),89.0,91.0,95.0,95,98,98.0
정규직,일반 정규직,정원,(별도정원),2.0,3.0,0.0,0,1,1.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0,0,0.0
정규직,일반 정규직,현원,계,82.5,82.5,76.5,81,90,88.5
정규직,일반 정규직,현원,전일제,82.0,82.0,76.0,81,90,87.0
정규직,일반 정규직,현원,단시간,0.5,0.5,0.5,0,0,1.5
정규직,무기 계약직,정원,계(C),0.0,0.0,0.0,0,0,0.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0,0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0,0,0.0
정규직,무기 계약직,현원,계,0.0,0.0,0.0,0,0,0.0
정규직,무기 계약직,현원,전일제,0.0,0.0,0.0,0,0,0.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0.0,0,0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),90.0,92.0,96.0,96,99,100.0
