구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1,1,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1,1,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0,0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,1,1,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0,0,0.0,0.0,0.0
임원,임원,이사,비상임,6.0,7,7,7.0,7.0,7.0
임원,임원,감사,상임 정원,0.0,0,0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0,0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1,1,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0,0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,2,2,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),126.0,129,130,152.0,158.0,149.0
정규직,일반 정규직,정원,(별도정원),2.0,1,0,2.0,1.0,1.0
정규직,일반 정규직,정원,(탄력정원),0.0,0,0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,106.25,118,119,139.75,134.25,130.25
정규직,일반 정규직,현원,전일제,104.0,116,117,137.0,132.0,128.0
정규직,일반 정규직,현원,단시간,2.25,2,2,2.75,2.25,2.25
정규직,무기 계약직,정원,계(C),16.0,17,16,16.0,16.0,13.0
정규직,무기 계약직,정원,(별도정원),0.0,1,0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0,0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,13.0,11,15,11.0,14.0,10.0
정규직,무기 계약직,현원,전일제,13.0,11,15,11.0,14.0,10.0
정규직,무기 계약직,현원,단시간,0.0,0,0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),143.0,148,148,169.0,175.0,163.0
