구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,12.0,12.0,12.0,12.0,12.0,12.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,2.0,2.0,2.0,2.0,2.0,2.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),533.0,562.0,477.0,497.0,504.0,498.0
정규직,일반 정규직,정원,(별도정원),3.0,5.0,1.0,3.0,1.0,2.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,498.2,517.85,444.25,446.63,470.7,472.3
정규직,일반 정규직,현원,전일제,495.0,515.0,442.0,444.0,469.0,470.0
정규직,일반 정규직,현원,단시간,3.2,2.85,2.25,2.63,1.7,2.3
정규직,무기 계약직,정원,계(C),144.6,144.6,141.6,141.6,141.6,141.6
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,125.85,130.6,127.6,123.48,116.98,119.63
정규직,무기 계약직,현원,전일제,124.0,130.0,127.0,122.0,115.0,119.0
정규직,무기 계약직,현원,단시간,1.85,0.6,0.6,1.48,1.98,0.63
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),678.6,707.6,619.6,639.6,646.6,640.6
