구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,상임 현원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,비상임,5.0,5.0,5.0,5.0,4.0,5.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),4.0,4.0,4.0,4.0,4.0,4.0
정규직,일반 정규직,정원,계(B),2307.0,2456.0,2625.0,2693.0,2734.0,2708.0
정규직,일반 정규직,정원,(별도정원),85.0,76.0,58.0,53.0,84.0,126.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,56.0,56.0,28.0,28.0
정규직,일반 정규직,현원,계,2346.5,2400.58,2489.88,2644.45,2615.01,2646.67
정규직,일반 정규직,현원,전일제,2325.0,2307.0,2395.0,2559.0,2546.0,2562.0
정규직,일반 정규직,현원,단시간,21.5,93.58,94.88,85.45,69.01,84.67
정규직,무기 계약직,정원,계(C),12.0,12.0,12.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,11.75,10.5,10.75,0.0,0.0,0.0
정규직,무기 계약직,현원,전일제,11.0,9.0,10.0,0.0,0.0,0.0
정규직,무기 계약직,현원,단시간,0.75,1.5,0.75,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),2323.0,2472.0,2641.0,2697.0,2738.0,2712.0
