구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1,1,1.0,1.0,0.0,1.0
임원,임원,기관장,비상임,0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0,0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,0,0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 정원,0,0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0,0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1,1,1.0,1.0,0.0,1.0
임원,임원,기타,기타,0,0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),140,146,149.0,149.0,150.0,154.0
정규직,일반 정규직,정원,(별도정원),0,3,5.0,3.0,3.0,7.0
정규직,일반 정규직,정원,(탄력정원),0,0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,131,134,142.25,141.25,139.75,143.5
정규직,일반 정규직,현원,전일제,131,134,140.0,139.0,139.0,142.0
정규직,일반 정규직,현원,단시간,0,0,2.25,2.25,0.75,1.5
정규직,무기 계약직,정원,계(C),0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(별도정원),0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,전일제,0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,단시간,0,0,0.0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),141,147,150.0,150.0,151.0,155.0
