구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,8.0,8.0,8.0,8.0,8.0,8.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),125.0,125.0,139.0,148.0,158.0,157.0
정규직,일반 정규직,정원,(별도정원),1.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,118.25,124.06,128.88,135.5,153.5,140.48
정규직,일반 정규직,현원,전일제,115.0,119.0,125.0,134.0,152.0,136.0
정규직,일반 정규직,현원,단시간,3.25,5.06,3.88,1.5,1.5,4.48
정규직,무기 계약직,정원,계(C),24.0,24.0,24.0,24.0,24.0,22.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,19.75,15.94,14.0,19.0,23.0,22.0
정규직,무기 계약직,현원,전일제,19.0,15.0,14.0,19.0,23.0,22.0
정규직,무기 계약직,현원,단시간,0.75,0.94,0.0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),150.0,150.0,164.0,173.0,183.0,180.0
