구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,상임 현원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,비상임,5.0,5.0,5.0,5.0,5.0,6.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),5.0,5.0,5.0,5.0,5.0,5.0
정규직,일반 정규직,정원,계(B),733.0,738.0,746.0,770.0,786.0,784.0
정규직,일반 정규직,정원,(별도정원),39.0,34.0,26.0,33.0,32.0,46.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,675.38,708.25,738.25,762.38,757.0,771.25
정규직,일반 정규직,현원,전일제,670.0,704.0,728.0,753.0,752.0,758.0
정규직,일반 정규직,현원,단시간,5.38,4.25,10.25,9.38,5.0,13.25
정규직,무기 계약직,정원,계(C),59.0,132.0,130.0,130.0,130.0,125.0
정규직,무기 계약직,정원,(별도정원),2.0,2.0,0.0,0.0,0.0,2.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,102.25,124.0,122.25,122.06,117.75,110.38
정규직,무기 계약직,현원,전일제,97.0,117.0,113.0,112.0,108.0,100.0
정규직,무기 계약직,현원,단시간,5.25,7.0,9.25,10.06,9.75,10.38
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),797.0,875.0,881.0,905.0,921.0,914.0
