구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,상임 현원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,비상임,8,8.0,8.0,9.0,10.0,10.0
임원,임원,감사,상임 정원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2,2.0,2.0,2.0,2.0,2.0
정규직,일반 정규직,정원,계(B),190,203.0,212.0,217.0,228.0,221.0
정규직,일반 정규직,정원,(별도정원),1,5.0,6.0,4.0,3.0,2.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,180,190.0,206.75,211.13,228.75,228.0
정규직,일반 정규직,현원,전일제,180,190.0,206.0,209.0,228.0,228.0
정규직,일반 정규직,현원,단시간,0,0.0,0.75,2.13,0.75,0.0
정규직,무기 계약직,정원,계(C),99,110.0,110.0,110.0,113.0,100.0
정규직,무기 계약직,정원,(별도정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,89,100.5,100.5,104.25,100.0,101.85
정규직,무기 계약직,현원,전일제,86,97.0,97.0,103.0,98.0,100.0
정규직,무기 계약직,현원,단시간,3,3.5,3.5,1.25,2.0,1.85
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),291,315.0,324.0,329.0,343.0,323.0
