구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,0.0,1.0,1.0,0.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,6.0,6.0,6.0,6.0,6.0,6.0
임원,임원,이사,상임 현원,5.0,3.0,6.0,5.0,5.0,6.0
임원,임원,이사,비상임,8.0,8.0,8.0,8.0,8.0,8.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),7.0,7.0,7.0,7.0,7.0,7.0
정규직,일반 정규직,정원,계(B),4972.0,5175.0,5258.0,5366.0,5443.0,5336.0
정규직,일반 정규직,정원,(별도정원),83.0,124.0,129.0,127.0,117.0,126.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,4762.5,4789.5,4870.88,4946.88,5070.88,4986.88
정규직,일반 정규직,현원,전일제,4761.0,4788.0,4870.0,4946.0,5070.0,4986.0
정규직,일반 정규직,현원,단시간,1.5,1.5,0.88,0.88,0.88,0.88
정규직,무기 계약직,정원,계(C),1349.0,2782.0,3699.0,3721.0,3716.0,3654.0
정규직,무기 계약직,정원,(별도정원),34.0,24.0,25.0,28.0,22.0,32.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,1246.63,2636.93,3593.43,3570.28,3589.03,3518.4
정규직,무기 계약직,현원,전일제,1220.0,2611.0,3568.0,3533.0,3562.0,3494.0
정규직,무기 계약직,현원,단시간,26.63,25.93,25.43,37.28,27.03,24.4
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),6328.0,7964.0,8964.0,9094.0,9166.0,8997.0
