구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,상임 현원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,비상임,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),4.0,4.0,4.0,4.0,4.0,4.0
정규직,일반 정규직,정원,계(B),2565.0,2572.0,2606.0,2643.0,2581.0,2525.0
정규직,일반 정규직,정원,(별도정원),103.0,82.0,71.0,97.0,91.0,115.0
정규직,일반 정규직,정원,(탄력정원),72.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,2459.13,2465.63,2461.63,2498.75,2462.13,2475.13
정규직,일반 정규직,현원,전일제,2438.0,2443.0,2437.0,2479.0,2444.0,2463.0
정규직,일반 정규직,현원,단시간,21.13,22.63,24.63,19.75,18.13,12.13
정규직,무기 계약직,정원,계(C),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,전일제,0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0.0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),2569.0,2576.0,2610.0,2647.0,2585.0,2529.0
