구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,0.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,6.0,6.0,6.0,6.0,6.0,6.0
임원,임원,이사,상임 현원,6.0,6.0,6.0,6.0,6.0,6.0
임원,임원,이사,비상임,8.0,8.0,8.0,8.0,8.0,8.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),7.0,7.0,7.0,7.0,7.0,7.0
정규직,일반 정규직,정원,계(B),947.0,976.0,962.0,974.0,973.0,954.0
정규직,일반 정규직,정원,(별도정원),20.0,30.0,16.0,28.0,27.0,28.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,913.6,904.8,861.9,832.5,831.18,844.88
정규직,일반 정규직,현원,전일제,910.0,902.0,859.0,832.0,826.0,839.0
정규직,일반 정규직,현원,단시간,3.6,2.8,2.9,0.5,5.18,5.88
정규직,무기 계약직,정원,계(C),2161.4,2176.6,2175.6,2193.6,2192.6,1889.6
정규직,무기 계약직,정원,(별도정원),7.0,7.0,6.0,13.0,12.0,8.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,2106.75,2034.65,1850.7,1578.65,1726.7,1718.9
정규직,무기 계약직,현원,전일제,182.0,198.0,202.0,206.0,205.0,207.0
정규직,무기 계약직,현원,단시간,1924.75,1836.65,1648.7,1372.65,1521.7,1511.9
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),3115.4,3159.6,3144.6,3174.6,3172.6,2850.6
