구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,0.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,상임 현원,1.0,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,비상임,4.0,4.0,4.0,4.0,4.0,4.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),5.0,5.0,5.0,5.0,5.0,5.0
정규직,일반 정규직,정원,계(B),613.0,642.0,680.0,680.0,682.0,693.0
정규직,일반 정규직,정원,(별도정원),10.0,21.0,19.0,7.0,10.0,22.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,595.21,621.13,656.31,664.23,669.73,678.63
정규직,일반 정규직,현원,전일제,590.0,614.0,647.0,658.0,658.0,675.0
정규직,일반 정규직,현원,단시간,5.21,7.13,9.31,6.23,11.73,3.63
정규직,무기 계약직,정원,계(C),110.0,110.0,110.0,110.0,108.0,108.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,82.63,94.88,100.25,96.13,97.63,97.0
정규직,무기 계약직,현원,전일제,79.0,91.0,96.0,90.0,92.0,92.0
정규직,무기 계약직,현원,단시간,3.63,3.88,4.25,6.13,5.63,5.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),728.0,757.0,795.0,795.0,795.0,806.0
