구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1,1.0,1,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1,1.0,1,1.0,1.0
임원,임원,기관장,비상임,0.0,0,0.0,0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0,0.0,0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0,0.0,0,0.0,0.0
임원,임원,이사,비상임,10.0,9,11.0,11,11.0,11.0
임원,임원,감사,상임 정원,1.0,1,1.0,1,1.0,1.0
임원,임원,감사,상임 현원,1.0,1,1.0,1,1.0,1.0
임원,임원,감사,비상임,0.0,0,0.0,0,0.0,0.0
임원,임원,기타,기타,0.0,0,0.0,0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2,2.0,2,2.0,2.0
정규직,일반 정규직,정원,계(B),148.0,157,157.0,156,154.0,149.0
정규직,일반 정규직,정원,(별도정원),4.0,7,7.0,4,2.0,1.0
정규직,일반 정규직,정원,(탄력정원),0.0,0,0.0,0,0.0,0.0
정규직,일반 정규직,현원,계,137.75,146,152.73,155,147.88,144.75
정규직,일반 정규직,현원,전일제,137.0,146,152.0,155,147.0,143.0
정규직,일반 정규직,현원,단시간,0.75,0,0.73,0,0.88,1.75
정규직,무기 계약직,정원,계(C),47.0,113,113.0,113,113.0,109.0
정규직,무기 계약직,정원,(별도정원),0.0,0,0.0,0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0,0.0,0,0.0,0.0
정규직,무기 계약직,현원,계,40.0,108,105.0,110,110.0,108.0
정규직,무기 계약직,현원,전일제,40.0,108,105.0,110,110.0,108.0
정규직,무기 계약직,현원,단시간,0.0,0,0.0,0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),197.0,272,272.0,271,269.0,260.0
