구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,2,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,상임 현원,2,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,비상임,12,11.0,11.0,11.0,10.0,11.0
임원,임원,감사,상임 정원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),3,3.0,3.0,3.0,3.0,3.0
정규직,일반 정규직,정원,계(B),206,209.0,213.0,211.0,212.0,215.0
정규직,일반 정규직,정원,(별도정원),7,6.0,6.0,4.0,3.0,8.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,194,199.63,205.5,200.0,205.5,212.7
정규직,일반 정규직,현원,전일제,194,199.0,205.0,200.0,205.0,212.0
정규직,일반 정규직,현원,단시간,0,0.63,0.5,0.0,0.5,0.7
정규직,무기 계약직,정원,계(C),167,177.0,178.0,180.0,182.0,176.0
정규직,무기 계약직,정원,(별도정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,160,161.0,168.88,164.38,158.0,160.6
정규직,무기 계약직,현원,전일제,160,161.0,168.0,163.0,158.0,160.0
정규직,무기 계약직,현원,단시간,0,0.0,0.88,1.38,0.0,0.6
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),376,389.0,394.0,394.0,397.0,394.0
