구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,0,0,0,0,0,0
임원,임원,기관장,상임 현원,0,0,0,0,0,0
임원,임원,기관장,비상임,1,1,1,1,1,1
임원,임원,이사,상임 정원,4,4,4,4,4,2
임원,임원,이사,상임 현원,1,2,2,2,2,2
임원,임원,이사,비상임,10,10,10,10,5,5
임원,임원,감사,상임 정원,0,0,0,0,0,0
임원,임원,감사,상임 현원,0,0,0,0,0,0
임원,임원,감사,비상임,2,2,2,2,1,1
임원,임원,기타,기타,0,0,0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),4,4,4,4,4,2
정규직,일반 정규직,정원,계(B),128,129,132,133,135,136
정규직,일반 정규직,정원,(별도정원),1,0,1,0,0,1
정규직,일반 정규직,정원,(탄력정원),0,0,0,0,0,0
정규직,일반 정규직,현원,계,117,119,119,113,116,118
정규직,일반 정규직,현원,전일제,117,119,119,113,116,118
정규직,일반 정규직,현원,단시간,0,0,0,0,0,0
정규직,무기 계약직,정원,계(C),47,48,48,48,59,58
정규직,무기 계약직,정원,(별도정원),1,0,0,0,0,0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0,0,0
정규직,무기 계약직,현원,계,41,46,44,44,49,45
정규직,무기 계약직,현원,전일제,41,46,44,44,49,45
정규직,무기 계약직,현원,단시간,0,0,0,0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),179,181,184,185,198,196
