구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,4,4.0,4.0,4.0,4.0,4.0
임원,임원,이사,상임 현원,4,4.0,4.0,4.0,4.0,4.0
임원,임원,이사,비상임,6,6.0,6.0,6.0,6.0,5.0
임원,임원,감사,상임 정원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1,1.0,1.0,1.0,0.0,0.0
임원,임원,감사,비상임,0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),6,6.0,6.0,6.0,6.0,6.0
정규직,일반 정규직,정원,계(B),303,303.0,302.0,303.0,304.0,301.0
정규직,일반 정규직,정원,(별도정원),11,11.0,10.0,11.0,12.0,24.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,290,293.65,294.05,294.18,291.68,287.88
정규직,일반 정규직,현원,전일제,289,292.0,291.0,292.0,290.0,286.0
정규직,일반 정규직,현원,단시간,1,1.65,3.05,2.18,1.68,1.88
정규직,무기 계약직,정원,계(C),0,0.0,7.0,7.0,7.0,7.0
정규직,무기 계약직,정원,(별도정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,0,7.0,7.0,7.0,6.0,5.0
정규직,무기 계약직,현원,전일제,0,7.0,7.0,7.0,6.0,5.0
정규직,무기 계약직,현원,단시간,0,0.0,0.0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),309,309.0,315.0,316.0,317.0,314.0
