구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,8.0,8.0,8.0,8.0,8.0,8.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),323.0,326.0,335.0,335.0,344.0,337.0
정규직,일반 정규직,정원,(별도정원),8.0,4.0,7.0,7.0,11.0,9.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,317.95,321.35,326.13,330.75,341.5,329.25
정규직,일반 정규직,현원,전일제,315.0,316.0,318.0,325.0,335.0,322.0
정규직,일반 정규직,현원,단시간,2.95,5.35,8.125,5.75,6.5,7.25
정규직,무기 계약직,정원,계(C),178.5,212.5,212.5,212.5,211.5,199.5
정규직,무기 계약직,정원,(별도정원),0.0,1.0,1.0,1.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,125.85,179.0,170.25,181.5,184.25,193.75
정규직,무기 계약직,현원,전일제,117.0,168.0,158.0,174.0,179.0,188.0
정규직,무기 계약직,현원,단시간,8.85,11.0,12.25,7.5,5.25,5.75
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),502.5,539.5,548.5,548.5,556.5,537.5
