구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1,1,1,1
임원,임원,기관장,상임 현원,1,1,1,1,1,0
임원,임원,기관장,비상임,0,0,0,0,0,0
임원,임원,이사,상임 정원,1,1,1,1,1,1
임원,임원,이사,상임 현원,0,1,1,1,0,1
임원,임원,이사,비상임,2,2,5,5,5,2
임원,임원,감사,상임 정원,1,1,1,1,1,1
임원,임원,감사,상임 현원,1,1,1,1,1,1
임원,임원,감사,비상임,0,0,0,0,0,0
임원,임원,기타,기타,0,0,0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),3,3,3,3,3,3
정규직,일반 정규직,정원,계(B),109,109,140,144,145,143
정규직,일반 정규직,정원,(별도정원),0,0,0,0,1,1
정규직,일반 정규직,정원,(탄력정원),0,0,0,0,0,0
정규직,일반 정규직,현원,계,108,104,118,118,141,136
정규직,일반 정규직,현원,전일제,108,104,118,118,141,136
정규직,일반 정규직,현원,단시간,0,0,0,0,0,0
정규직,무기 계약직,정원,계(C),0,0,18,18,18,16
정규직,무기 계약직,정원,(별도정원),1,1,1,14,16,16
정규직,무기 계약직,정원,(탄력정원),0,0,0,0,0,0
정규직,무기 계약직,현원,계,1,1,1,14,16,16
정규직,무기 계약직,현원,전일제,1,1,1,14,16,16
정규직,무기 계약직,현원,단시간,0,0,0,0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),112,112,161,165,166,162
