구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,0.0,1.0,1.0,1.0,0.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,1.0,1.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,1.0
임원,임원,이사,비상임,7.0,7.0,7.0,7.0,7.0,7.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,2.0,2.0
정규직,일반 정규직,정원,계(B),129.0,134.0,141.0,151.0,156.0,156.0
정규직,일반 정규직,정원,(별도정원),1.0,0.0,0.0,1.0,1.0,1.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,110.25,122.23,127.75,124.8,140.43,133.51
정규직,일반 정규직,현원,전일제,109.0,121.0,127.0,124.0,139.0,132.0
정규직,일반 정규직,현원,단시간,1.25,1.23,0.75,0.8,1.43,1.51
정규직,무기 계약직,정원,계(C),104.0,119.0,119.0,119.0,121.0,116.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,1.0,1.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,97.1,90.55,111.0,125.0,92.75,87.8
정규직,무기 계약직,현원,전일제,95.0,90.0,111.0,125.0,92.0,87.0
정규직,무기 계약직,현원,단시간,2.1,0.55,0.0,0.0,0.75,0.8
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),234.0,254.0,261.0,271.0,279.0,274.0
