구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,11.0,10,13.0,13.0,14.0,14.0
임원,임원,감사,상임 정원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),113.0,120,123.0,123.0,126.0,126.0
정규직,일반 정규직,정원,(별도정원),0.0,0,1.0,1.0,0.0,0.0
정규직,일반 정규직,정원,(탄력정원),0.0,0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,105.25,92,102.48,112.35,112.53,117.75
정규직,일반 정규직,현원,전일제,104.0,92,101.0,111.0,108.0,114.0
정규직,일반 정규직,현원,단시간,1.25,0,1.48,1.35,4.53,3.75
정규직,무기 계약직,정원,계(C),37.0,37,37.0,37.0,37.0,37.0
정규직,무기 계약직,정원,(별도정원),0.0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,36.0,35,31.0,28.0,32.0,32.63
정규직,무기 계약직,현원,전일제,36.0,35,31.0,28.0,32.0,32.0
정규직,무기 계약직,현원,단시간,0.0,0,0.0,0.0,0.0,0.63
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),151.0,158,161.0,161.0,164.0,164.0
