구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1,1,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,1,1,1.0,1.0,1.0,1.0
임원,임원,이사,상임 현원,0,0,1.0,1.0,1.0,1.0
임원,임원,이사,비상임,13,13,13.0,13.0,13.0,13.0
임원,임원,감사,상임 정원,0,0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0,0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1,1,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0,0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2,2,2.0,2.0,2.0,2.0
정규직,일반 정규직,정원,계(B),97,97,99.0,99.0,110.0,112.0
정규직,일반 정규직,정원,(별도정원),0,0,0.0,0.0,0.0,1.0
정규직,일반 정규직,정원,(탄력정원),0,0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,94,91,95.5,92.0,103.0,100.5
정규직,일반 정규직,현원,전일제,93,90,95.0,91.0,102.0,100.0
정규직,일반 정규직,현원,단시간,1,1,0.5,1.0,1.0,0.5
정규직,무기 계약직,정원,계(C),31,31,31.0,31.0,31.0,33.0
정규직,무기 계약직,정원,(별도정원),0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,20,28,25.5,29.5,26.5,31.0
정규직,무기 계약직,현원,전일제,18,26,24.0,28.0,25.0,29.0
정규직,무기 계약직,현원,단시간,2,2,1.5,1.5,1.5,2.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),130,130,132.0,132.0,143.0,147.0
