구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,0.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,상임 현원,3.0,2.0,3.0,3.0,2.0,3.0
임원,임원,이사,비상임,6.0,6.0,6.0,6.0,6.0,6.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),5.0,5.0,5.0,5.0,5.0,5.0
정규직,일반 정규직,정원,계(B),5581.13,5818.0,6125.0,6384.0,6507.0,6401.0
정규직,일반 정규직,정원,(별도정원),59.0,59.0,40.0,47.0,56.0,61.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,5335.55,5569.58,5712.58,5957.75,6003.34,5997.88
정규직,일반 정규직,현원,전일제,5260.0,5454.0,5614.0,5874.0,5914.0,5912.0
정규직,일반 정규직,현원,단시간,75.55,115.58,98.58,83.75,89.34,85.88
정규직,무기 계약직,정원,계(C),780.0,972.0,1001.0,1037.0,1058.0,972.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,648.85,820.43,861.03,894.28,907.58,889.6
정규직,무기 계약직,현원,전일제,644.0,816.0,856.0,887.0,902.0,885.0
정규직,무기 계약직,현원,단시간,4.85,4.43,5.03,7.28,5.58,4.6
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),6366.13,6795.0,7131.0,7426.0,7570.0,7378.0
