구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,4.0,4.0,4.0,4.0,4.0,4.0
임원,임원,이사,상임 현원,4.0,4.0,4.0,4.0,4.0,4.0
임원,임원,이사,비상임,6.0,6.0,6.0,6.0,6.0,6.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),6.0,6.0,6.0,6.0,6.0,6.0
정규직,일반 정규직,정원,계(B),827.0,875.0,914.0,986.0,1054.0,1047.0
정규직,일반 정규직,정원,(별도정원),24.0,26.0,27.0,25.0,24.0,27.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,802.5,814.25,832.5,875.25,946.63,972.0
정규직,일반 정규직,현원,전일제,793.0,806.0,820.0,861.0,927.0,953.0
정규직,일반 정규직,현원,단시간,9.5,8.25,12.5,14.25,19.63,19.0
정규직,무기 계약직,정원,계(C),128.0,128.0,128.0,128.0,129.0,129.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,125.0,119.75,119.0,132.5,129.75,125.75
정규직,무기 계약직,현원,전일제,125.0,119.0,116.0,131.0,129.0,125.0
정규직,무기 계약직,현원,단시간,0.0,0.75,3.0,1.5,0.75,0.75
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),961.0,1009.0,1048.0,1120.0,1189.0,1182.0
