구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1,1.0,1,1.0
임원,임원,기관장,상임 현원,1,1.0,1,1.0,1,1.0
임원,임원,기관장,비상임,0,0.0,0,0.0,0,0.0
임원,임원,이사,상임 정원,0,0.0,0,0.0,0,0.0
임원,임원,이사,상임 현원,0,0.0,0,0.0,0,0.0
임원,임원,이사,비상임,8,8.0,8,8.0,6,8.0
임원,임원,감사,상임 정원,0,0.0,0,0.0,0,0.0
임원,임원,감사,상임 현원,0,0.0,0,0.0,0,0.0
임원,임원,감사,비상임,1,1.0,1,1.0,1,1.0
임원,임원,기타,기타,0,0.0,0,0.0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1.0,1,1.0,1,1.0
정규직,일반 정규직,정원,계(B),74,93.0,99,106.0,110,111.0
정규직,일반 정규직,정원,(별도정원),0,0.0,0,0.0,0,1.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0,0.0,0,0.0
정규직,일반 정규직,현원,계,69,83.0,89,95.75,103,99.0
정규직,일반 정규직,현원,전일제,69,83.0,89,95.0,103,99.0
정규직,일반 정규직,현원,단시간,0,0.0,0,0.75,0,0.0
정규직,무기 계약직,정원,계(C),21,21.0,21,21.0,21,13.0
정규직,무기 계약직,정원,(별도정원),0,0.0,0,0.0,0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0,0.0,0,0.0
정규직,무기 계약직,현원,계,8,5.5,6,6.5,9,7.5
정규직,무기 계약직,현원,전일제,8,5.0,5,6.0,8,7.0
정규직,무기 계약직,현원,단시간,0,0.5,1,0.5,1,0.5
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),96,115.0,121,128.0,132,125.0
