구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0,0.0,0.0,0.0
임원,임원,이사,상임 정원,1.0,1.0,2,2.0,2.0,2.0
임원,임원,이사,상임 현원,1.0,1.0,2,2.0,2.0,2.0
임원,임원,이사,비상임,7.0,9.0,9,9.0,10.0,10.0
임원,임원,감사,상임 정원,0.0,0.0,0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2.0,3,3.0,3.0,3.0
정규직,일반 정규직,정원,계(B),249.0,331.0,387,389.0,389.0,384.0
정규직,일반 정규직,정원,(별도정원),1.0,1.0,0,0.0,0.0,1.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,209.5,310.3,378,395.0,371.0,376.5
정규직,일반 정규직,현원,전일제,205.0,305.0,372,390.0,368.0,372.0
정규직,일반 정규직,현원,단시간,4.5,5.3,6,5.0,3.0,4.5
정규직,무기 계약직,정원,계(C),60.0,73.0,85,85.0,85.0,67.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,56.5,58.5,78,79.5,77.43,55.6
정규직,무기 계약직,현원,전일제,56.0,58.0,78,79.0,75.0,55.0
정규직,무기 계약직,현원,단시간,0.5,0.5,0,0.5,2.43,0.6
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),311.0,406.0,475,477.0,477.0,454.0
