구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0,0.0,0.0
임원,임원,이사,비상임,13.0,13.0,13.0,13,12.0,13.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2.0,2.0,2,2.0,2.0
정규직,일반 정규직,정원,계(B),257.0,289.0,316.0,327,338.0,299.5
정규직,일반 정규직,정원,(별도정원),0.0,6.0,5.0,2,3.0,3.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0,0.0,0.0
정규직,일반 정규직,현원,계,239.5,268.25,302.75,312,311.75,297.75
정규직,일반 정규직,현원,전일제,235.0,266.0,302.0,312,311.0,297.0
정규직,일반 정규직,현원,단시간,4.5,2.25,0.75,0,0.75,0.75
정규직,무기 계약직,정원,계(C),103.0,100.0,100.0,100,100.0,101.0
정규직,무기 계약직,정원,(별도정원),3.0,0.0,0.0,0,0.0,1.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0,0.0,0.0
정규직,무기 계약직,현원,계,62.0,105.5,101.75,106,103.0,98.0
정규직,무기 계약직,현원,전일제,62.0,104.0,101.0,106,103.0,98.0
정규직,무기 계약직,현원,단시간,0.0,1.5,0.75,0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),362.0,391.0,418.0,429,440.0,402.5
