구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1.0,1.0,1,1
임원,임원,기관장,상임 현원,1,1,1.0,1.0,1,1
임원,임원,기관장,비상임,0,0,0.0,0.0,0,0
임원,임원,이사,상임 정원,0,0,0.0,0.0,0,0
임원,임원,이사,상임 현원,0,0,0.0,0.0,0,0
임원,임원,이사,비상임,12,12,12.0,12.0,12,12
임원,임원,감사,상임 정원,0,0,0.0,0.0,0,0
임원,임원,감사,상임 현원,0,0,0.0,0.0,0,0
임원,임원,감사,비상임,1,1,1.0,1.0,1,1
임원,임원,기타,기타,0,0,0.0,0.0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1,1.0,1.0,1,1
정규직,일반 정규직,정원,계(B),452,466,482.0,481.0,504,472
정규직,일반 정규직,정원,(별도정원),8,8,11.0,4.0,9,8
정규직,일반 정규직,정원,(탄력정원),0,0,0.0,0.0,0,0
정규직,일반 정규직,현원,계,414,427,432.5,443.5,470,477
정규직,일반 정규직,현원,전일제,413,426,432.0,443.0,470,477
정규직,일반 정규직,현원,단시간,1,1,0.5,0.5,0,0
정규직,무기 계약직,정원,계(C),475,475,474.0,473.0,455,429
정규직,무기 계약직,정원,(별도정원),0,0,0.0,0.0,0,0
정규직,무기 계약직,정원,(탄력정원),0,0,0.0,0.0,0,0
정규직,무기 계약직,현원,계,348,406,405.0,397.0,407,429
정규직,무기 계약직,현원,전일제,348,406,405.0,397.0,407,429
정규직,무기 계약직,현원,단시간,0,0,0.0,0.0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),928,942,957.0,955.0,960,902
