구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,0.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,14.0,14.0,14.0,14.0,14.0,14.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),312.0,347.0,371.0,371.0,361.0,386.0
정규직,일반 정규직,정원,(별도정원),1.0,3.0,2.0,2.0,2.0,6.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,305.63,332.7,357.83,344.78,343.68,350.03
정규직,일반 정규직,현원,전일제,301.0,329.0,351.0,340.0,338.0,342.0
정규직,일반 정규직,현원,단시간,4.63,3.7,6.83,4.78,5.68,8.03
정규직,무기 계약직,정원,계(C),50.0,50.0,50.0,50.0,48.0,43.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,46.0,39.0,45.0,39.0,37.0,34.63
정규직,무기 계약직,현원,전일제,46.0,39.0,45.0,39.0,37.0,34.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0.0,0.0,0.0,0.63
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),363.0,398.0,422.0,422.0,410.0,430.0
