구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,4,4.0,4.0,4.0,4.0,4.0
임원,임원,이사,상임 현원,4,4.0,4.0,4.0,4.0,4.0
임원,임원,이사,비상임,6,6.0,6.0,5.0,6.0,6.0
임원,임원,감사,상임 정원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),5,5.0,5.0,5.0,5.0,5.0
정규직,일반 정규직,정원,계(B),527,552.0,558.0,577.0,590.0,582.0
정규직,일반 정규직,정원,(별도정원),18,19.0,18.0,23.0,28.0,31.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,511,530.0,541.75,554.25,560.5,563.25
정규직,일반 정규직,현원,전일제,508,521.0,532.0,546.0,547.0,558.0
정규직,일반 정규직,현원,단시간,3,9.0,9.75,8.25,13.5,5.25
정규직,무기 계약직,정원,계(C),15,52.0,52.0,54.0,55.0,46.0
정규직,무기 계약직,정원,(별도정원),0,0.0,0.0,0.0,1.0,1.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,23,49.75,49.0,47.0,43.25,41.0
정규직,무기 계약직,현원,전일제,23,49.0,46.0,44.0,41.0,41.0
정규직,무기 계약직,현원,단시간,0,0.75,3.0,3.0,2.25,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),547,609.0,615.0,636.0,650.0,633.0
