구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,0.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,상임 현원,3.0,3.0,3.0,3.0,3.0,2.0
임원,임원,이사,비상임,7.0,7.0,7.0,7.0,7.0,7.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,0.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),5.0,5.0,5.0,5.0,5.0,5.0
정규직,일반 정규직,정원,계(B),1694.0,1827.0,1894.0,1992.0,2085.0,2072.0
정규직,일반 정규직,정원,(별도정원),49.0,42.0,53.0,59.0,56.0,55.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,1606.0,1737.13,1805.0,1883.1,1935.25,2003.25
정규직,일반 정규직,현원,전일제,1570.0,1712.0,1778.0,1854.0,1909.0,1980.0
정규직,일반 정규직,현원,단시간,36.0,25.13,27.0,29.1,26.25,23.25
정규직,무기 계약직,정원,계(C),89.13,155.63,155.63,155.63,159.63,146.63
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,1.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,81.13,112.63,121.0,134.0,140.0,135.75
정규직,무기 계약직,현원,전일제,76.0,109.0,117.0,128.0,134.0,131.0
정규직,무기 계약직,현원,단시간,5.13,3.63,4.0,6.0,6.0,4.75
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1788.13,1987.63,2054.63,2152.63,2249.63,2223.63
