구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1,1,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3,3,3.0,3.0,3.0,3.0
임원,임원,이사,상임 현원,1,1,1.0,1.0,1.0,1.0
임원,임원,이사,비상임,6,6,6.0,6.0,6.0,6.0
임원,임원,감사,상임 정원,1,1,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1,1,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0,0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0,0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),5,5,5.0,5.0,5.0,5.0
정규직,일반 정규직,정원,계(B),3204,3148,3152.0,3177.0,3237.0,3267.0
정규직,일반 정규직,정원,(별도정원),29,31,35.0,60.0,82.0,112.0
정규직,일반 정규직,정원,(탄력정원),0,0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,3051,3023,3079.5,3045.5,3085.25,3002.5
정규직,일반 정규직,현원,전일제,3048,3015,3072.0,3037.0,3071.0,2986.0
정규직,일반 정규직,현원,단시간,3,8,7.5,8.5,14.25,16.5
정규직,무기 계약직,정원,계(C),117,152,156.0,159.0,154.0,147.0
정규직,무기 계약직,정원,(별도정원),0,0,5.0,9.0,11.0,12.0
정규직,무기 계약직,정원,(탄력정원),0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,115,149,155.0,155.0,149.0,140.0
정규직,무기 계약직,현원,전일제,115,149,155.0,155.0,149.0,140.0
정규직,무기 계약직,현원,단시간,0,0,0.0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),3326,3305,3313.0,3341.0,3396.0,3419.0
