구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,상임 현원,2.0,3.0,3.0,3.0,3.0,2.0
임원,임원,이사,비상임,9.0,9.0,9.0,9.0,9.0,8.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,0.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),5.0,5.0,5.0,5.0,5.0,5.0
정규직,일반 정규직,정원,계(B),1540.0,1618.0,1654.0,1664.0,1676.0,1653.0
정규직,일반 정규직,정원,(별도정원),56.0,57.0,63.0,50.0,50.0,48.0
정규직,일반 정규직,정원,(탄력정원),5.0,5.0,5.0,5.0,5.0,5.0
정규직,일반 정규직,현원,계,1454.38,1552.0,1570.75,1575.88,1585.63,1585.38
정규직,일반 정규직,현원,전일제,1416.0,1543.0,1563.0,1566.0,1575.0,1576.0
정규직,일반 정규직,현원,단시간,38.38,9.0,7.75,9.88,10.63,9.38
정규직,무기 계약직,정원,계(C),232.2,232.2,232.2,235.7,235.7,217.7
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,187.7,219.79,184.91,207.73,199.34,205.16
정규직,무기 계약직,현원,전일제,149.0,172.0,144.0,167.0,157.0,162.0
정규직,무기 계약직,현원,단시간,38.7,47.79,40.91,40.73,42.34,43.16
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1777.2,1855.2,1891.2,1904.7,1916.7,1875.7
