구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1.0,1,1,1.0
임원,임원,기관장,상임 현원,1,0,1.0,1,1,1.0
임원,임원,기관장,비상임,0,0,0.0,0,0,0.0
임원,임원,이사,상임 정원,0,0,0.0,0,0,0.0
임원,임원,이사,상임 현원,0,0,0.0,0,0,0.0
임원,임원,이사,비상임,0,0,0.0,0,0,0.0
임원,임원,감사,상임 정원,0,0,0.0,0,0,0.0
임원,임원,감사,상임 현원,0,0,0.0,0,0,0.0
임원,임원,감사,비상임,1,1,1.0,0,0,0.0
임원,임원,기타,기타,0,0,0.0,0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1,1.0,1,1,1.0
정규직,일반 정규직,정원,계(B),924,941,943.0,952,952,960.0
정규직,일반 정규직,정원,(별도정원),8,10,9.0,15,8,16.0
정규직,일반 정규직,정원,(탄력정원),0,0,0.0,0,0,0.0
정규직,일반 정규직,현원,계,837,932,924.5,928,924,934.5
정규직,일반 정규직,현원,전일제,834,929,922.0,925,921,932.0
정규직,일반 정규직,현원,단시간,3,3,2.5,3,3,2.5
정규직,무기 계약직,정원,계(C),189,189,189.0,190,190,191.0
정규직,무기 계약직,정원,(별도정원),0,0,0.0,0,0,1.0
정규직,무기 계약직,정원,(탄력정원),0,0,0.0,0,0,0.0
정규직,무기 계약직,현원,계,180,177,179.0,179,179,178.0
정규직,무기 계약직,현원,전일제,180,177,179.0,179,179,178.0
정규직,무기 계약직,현원,단시간,0,0,0.0,0,0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1114,1131,1133.0,1143,1143,1152.0
