구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,상임 현원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,비상임,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),4.0,4.0,4.0,4.0,4.0,4.0
정규직,일반 정규직,정원,계(B),2489.0,2547.0,2701.0,2770.0,2838.0,2780.0
정규직,일반 정규직,정원,(별도정원),100.0,86.0,75.0,86.0,103.0,122.0
정규직,일반 정규직,정원,(탄력정원),30.0,30.0,106.0,100.0,50.0,50.0
정규직,일반 정규직,현원,계,2438.13,2505.38,2647.13,2691.38,2718.88,2707.88
정규직,일반 정규직,현원,전일제,2419.0,2489.0,2631.0,2675.0,2703.0,2692.0
정규직,일반 정규직,현원,단시간,19.13,16.38,16.13,16.38,15.88,15.88
정규직,무기 계약직,정원,계(C),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,전일제,0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0.0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),2493.0,2551.0,2705.0,2774.0,2842.0,2784.0
