구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,6.0,6.0,6.0,6.0,6.0,6.0
임원,임원,이사,상임 현원,3.0,3.0,2.0,3.0,3.0,3.0
임원,임원,이사,비상임,5.0,5.0,5.0,5.0,5.0,6.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),7.0,7.0,7.0,7.0,7.0,7.0
정규직,일반 정규직,정원,계(B),1379.0,1383.0,1346.0,1359.0,1365.0,1348.0
정규직,일반 정규직,정원,(별도정원),35.0,38.0,44.0,37.0,43.0,68.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,1333.38,1297.75,1304.0,1256.0,1227.0,1253.63
정규직,일반 정규직,현원,전일제,1331.0,1294.0,1301.0,1253.0,1224.0,1249.0
정규직,일반 정규직,현원,단시간,2.38,3.75,3.0,3.0,3.0,4.63
정규직,무기 계약직,정원,계(C),82.0,82.0,82.0,82.0,82.0,77.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,69.0,63.0,59.5,57.0,64.5,55.75
정규직,무기 계약직,현원,전일제,69.0,63.0,58.0,57.0,63.0,55.0
정규직,무기 계약직,현원,단시간,0.0,0.0,1.5,0.0,1.5,0.75
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1468.0,1472.0,1435.0,1448.0,1454.0,1432.0
