구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1,1,1,1.0,1
임원,임원,기관장,상임 현원,1.0,1,1,1,1.0,1
임원,임원,기관장,비상임,0.0,0,0,0,0.0,0
임원,임원,이사,상임 정원,0.0,0,0,0,0.0,0
임원,임원,이사,상임 현원,0.0,0,0,0,0.0,0
임원,임원,이사,비상임,11.0,11,11,11,11.0,11
임원,임원,감사,상임 정원,0.0,0,0,0,0.0,0
임원,임원,감사,상임 현원,0.0,0,0,0,0.0,0
임원,임원,감사,비상임,1.0,1,1,1,1.0,1
임원,임원,기타,기타,0.0,0,0,0,0.0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1,1,1,1.0,1
정규직,일반 정규직,정원,계(B),123.0,123,132,133,140.0,137
정규직,일반 정규직,정원,(별도정원),2.0,1,5,2,3.0,0
정규직,일반 정규직,정원,(탄력정원),0.0,0,0,0,0.0,0
정규직,일반 정규직,현원,계,119.75,122,130,133,139.0,134
정규직,일반 정규직,현원,전일제,119.0,122,130,133,139.0,134
정규직,일반 정규직,현원,단시간,0.75,0,0,0,0.0,0
정규직,무기 계약직,정원,계(C),85.0,85,91,91,91.0,91
정규직,무기 계약직,정원,(별도정원),0.0,0,0,0,0.0,0
정규직,무기 계약직,정원,(탄력정원),0.0,0,0,0,0.0,0
정규직,무기 계약직,현원,계,69.0,80,82,86,83.5,85
정규직,무기 계약직,현원,전일제,68.0,78,80,82,80.0,81
정규직,무기 계약직,현원,단시간,1.0,2,2,4,3.5,4
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),209.0,209,224,225,232.0,229
