구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1,1.0,1.0,1.0,1.0,0.0
임원,임원,기관장,비상임,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,상임 현원,3,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,비상임,4,4.0,4.0,4.0,4.0,4.0
임원,임원,감사,상임 정원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),4,4.0,4.0,4.0,4.0,4.0
정규직,일반 정규직,정원,계(B),237,257.0,277.0,284.0,292.0,283.0
정규직,일반 정규직,정원,(별도정원),4,4.0,3.0,3.0,6.0,8.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,228,254.0,273.0,273.75,277.75,285.75
정규직,일반 정규직,현원,전일제,227,253.0,272.0,272.0,276.0,285.75
정규직,일반 정규직,현원,단시간,1,1.0,1.0,1.75,1.75,0.0
정규직,무기 계약직,정원,계(C),30,30.0,33.0,33.0,33.0,33.0
정규직,무기 계약직,정원,(별도정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,24,25.25,29.5,32.5,31.0,31.0
정규직,무기 계약직,현원,전일제,21,23.0,28.0,31.0,31.0,31.0
정규직,무기 계약직,현원,단시간,3,2.25,1.5,1.5,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),271,291.0,314.0,321.0,329.0,320.0
