구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1.0,1,1.0
임원,임원,기관장,상임 현원,1,1.0,1.0,1.0,1,1.0
임원,임원,기관장,비상임,0,0.0,0.0,0.0,0,0.0
임원,임원,이사,상임 정원,0,0.0,1.0,1.0,2,2.0
임원,임원,이사,상임 현원,0,0.0,1.0,1.0,2,2.0
임원,임원,이사,비상임,7,7.0,7.0,7.0,8,8.0
임원,임원,감사,상임 정원,0,0.0,0.0,0.0,0,0.0
임원,임원,감사,상임 현원,0,0.0,0.0,0.0,0,0.0
임원,임원,감사,비상임,1,1.0,1.0,1.0,1,1.0
임원,임원,기타,기타,0,0.0,0.0,0.0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1.0,2.0,2.0,3,3.0
정규직,일반 정규직,정원,계(B),174,176.0,289.0,290.0,296,296.0
정규직,일반 정규직,정원,(별도정원),0,0.0,0.0,0.0,0,0.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0.0,0,0.0
정규직,일반 정규직,현원,계,143,162.75,262.5,262.75,274,271.0
정규직,일반 정규직,현원,전일제,143,162.0,262.0,261.0,266,264.0
정규직,일반 정규직,현원,단시간,0,0.75,0.5,1.75,8,7.0
정규직,무기 계약직,정원,계(C),0,60.0,158.0,177.0,153,153.0
정규직,무기 계약직,정원,(별도정원),0,0.0,0.0,0.0,0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0.0,0,0.0
정규직,무기 계약직,현원,계,0,51.0,143.0,149.0,161,140.88
정규직,무기 계약직,현원,전일제,0,51.0,136.0,141.0,153,131.0
정규직,무기 계약직,현원,단시간,0,0.0,7.0,8.0,8,9.88
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),175,237.0,449.0,469.0,452,452.0
