구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,상임 현원,1.0,1.0,1.0,1.0,1.0,0.0
임원,임원,이사,비상임,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2.0,2.0,2.0,2.0,2.0
정규직,일반 정규직,정원,계(B),131.0,141.0,139.0,146.0,147.0,137.0
정규직,일반 정규직,정원,(별도정원),2.0,3.0,1.0,4.0,4.0,3.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,122.5,133.0,121.63,137.0,143.88,140.64
정규직,일반 정규직,현원,전일제,121.0,133.0,120.0,137.0,143.0,138.0
정규직,일반 정규직,현원,단시간,1.5,0.0,1.63,0.0,0.88,2.64
정규직,무기 계약직,정원,계(C),174.0,187.0,187.0,212.0,212.0,204.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,171.76,174.63,158.13,189.45,189.23,184.52
정규직,무기 계약직,현원,전일제,165.0,168.0,149.0,180.0,182.0,179.0
정규직,무기 계약직,현원,단시간,6.76,6.63,9.13,9.45,7.23,5.52
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),307.0,330.0,328.0,360.0,361.0,343.0
