구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1,1,1,1
임원,임원,기관장,상임 현원,1,1,1,1,1,1
임원,임원,기관장,비상임,0,0,0,0,0,0
임원,임원,이사,상임 정원,0,0,0,0,0,0
임원,임원,이사,상임 현원,0,0,0,0,0,0
임원,임원,이사,비상임,8,8,6,8,8,8
임원,임원,감사,상임 정원,0,0,0,0,0,0
임원,임원,감사,상임 현원,0,0,0,0,0,0
임원,임원,감사,비상임,1,1,1,1,1,1
임원,임원,기타,기타,0,0,0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1,1,1,1,1
정규직,일반 정규직,정원,계(B),130,130,138,154,169,169
정규직,일반 정규직,정원,(별도정원),0,0,0,0,0,0
정규직,일반 정규직,정원,(탄력정원),0,0,0,0,0,0
정규직,일반 정규직,현원,계,116,123,133,152,161,166
정규직,일반 정규직,현원,전일제,116,123,133,152,161,166
정규직,일반 정규직,현원,단시간,0,0,0,0,0,0
정규직,무기 계약직,정원,계(C),0,0,0,0,0,0
정규직,무기 계약직,정원,(별도정원),0,0,0,0,0,0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0,0,0
정규직,무기 계약직,현원,계,0,0,0,0,0,0
정규직,무기 계약직,현원,전일제,0,0,0,0,0,0
정규직,무기 계약직,현원,단시간,0,0,0,0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),131,131,139,155,170,170
