구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,2,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,상임 현원,2,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,비상임,7,7.0,7.0,7.0,6.0,8.0
임원,임원,감사,상임 정원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),3,3.0,3.0,3.0,3.0,3.0
정규직,일반 정규직,정원,계(B),218,232.0,244.0,255.0,259.0,254.0
정규직,일반 정규직,정원,(별도정원),1,0.0,2.0,2.0,0.0,1.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,208,216.35,227.38,234.25,243.75,239.13
정규직,일반 정규직,현원,전일제,208,215.0,226.0,233.0,243.0,238.0
정규직,일반 정규직,현원,단시간,0,1.35,1.375,1.25,0.75,1.125
정규직,무기 계약직,정원,계(C),7,7.0,7.0,7.0,7.0,6.0
정규직,무기 계약직,정원,(별도정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,7,6.0,6.75,5.75,3.0,2.0
정규직,무기 계약직,현원,전일제,7,6.0,6.0,5.0,3.0,2.0
정규직,무기 계약직,현원,단시간,0,0.0,0.75,0.75,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),228,242.0,254.0,265.0,269.0,263.0
