구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1,1,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1,1,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0,0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0,0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0,0,0.0,0.0
임원,임원,이사,비상임,10.0,10.0,10,9,9.0,9.0
임원,임원,감사,상임 정원,0.0,0.0,0,0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0,0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1,1,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0,0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1,1,1.0,1.0
정규직,일반 정규직,정원,계(B),52.0,52.0,55,60,63.0,62.0
정규직,일반 정규직,정원,(별도정원),0.0,0.0,0,1,4.0,3.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0,0,0.0,0.0
정규직,일반 정규직,현원,계,50.25,48.5,52,48,55.0,55.0
정규직,일반 정규직,현원,전일제,49.0,48.0,51,47,52.0,54.0
정규직,일반 정규직,현원,단시간,1.25,0.5,1,1,3.0,1.0
정규직,무기 계약직,정원,계(C),65.0,65.0,65,65,65.0,60.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0,0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0,0,0.0,0.0
정규직,무기 계약직,현원,계,29.75,45.75,55,51,51.5,53.25
정규직,무기 계약직,현원,전일제,29.0,45.0,55,51,51.0,52.0
정규직,무기 계약직,현원,단시간,0.75,0.75,0,0,0.5,1.25
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),118.0,118.0,121,126,129.0,123.0
