구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1.0,1.0,1,1
임원,임원,기관장,상임 현원,1,1,1.0,1.0,1,1
임원,임원,기관장,비상임,0,0,0.0,0.0,0,0
임원,임원,이사,상임 정원,0,0,0.0,0.0,0,0
임원,임원,이사,상임 현원,0,0,0.0,0.0,0,0
임원,임원,이사,비상임,0,0,0.0,0.0,0,0
임원,임원,감사,상임 정원,0,0,0.0,0.0,0,0
임원,임원,감사,상임 현원,0,0,0.0,0.0,0,0
임원,임원,감사,비상임,1,1,1.0,0.0,0,0
임원,임원,기타,기타,0,0,0.0,0.0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1,1.0,1.0,1,1
정규직,일반 정규직,정원,계(B),533,546,541.0,549.0,543,549
정규직,일반 정규직,정원,(별도정원),11,13,13.0,19.0,5,11
정규직,일반 정규직,정원,(탄력정원),0,0,0.0,0.0,0,0
정규직,일반 정규직,현원,계,497,525,534.5,540.88,533,526
정규직,일반 정규직,현원,전일제,497,525,534.0,540.0,533,526
정규직,일반 정규직,현원,단시간,0,0,0.5,0.88,0,0
정규직,무기 계약직,정원,계(C),11,25,25.0,21.0,21,19
정규직,무기 계약직,정원,(별도정원),0,0,0.0,0.0,0,0
정규직,무기 계약직,정원,(탄력정원),0,0,0.0,0.0,0,0
정규직,무기 계약직,현원,계,10,14,17.0,20.0,16,15
정규직,무기 계약직,현원,전일제,10,14,17.0,20.0,16,15
정규직,무기 계약직,현원,단시간,0,0,0.0,0.0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),545,572,567.0,571.0,565,569
