구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1,1.0,1.0,1.0,1.0,0.0
임원,임원,기관장,비상임,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,10,10.0,10.0,10.0,10.0,10.0
임원,임원,감사,상임 정원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),136,138.0,140.0,151.0,163.0,171.0
정규직,일반 정규직,정원,(별도정원),1,1.0,1.0,2.0,6.0,11.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,128,129.5,136.0,146.0,151.0,156.0
정규직,일반 정규직,현원,전일제,128,128.0,136.0,146.0,151.0,156.0
정규직,일반 정규직,현원,단시간,0,1.5,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,계(C),28,28.0,29.0,29.0,29.0,27.0
정규직,무기 계약직,정원,(별도정원),0,0.0,1.0,1.0,1.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,27,26.0,27.5,26.5,26.38,18.5
정규직,무기 계약직,현원,전일제,27,26.0,26.0,25.0,24.0,17.0
정규직,무기 계약직,현원,단시간,0,0.0,1.5,1.5,2.375,1.5
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),165,167.0,170.0,181.0,193.0,199.0
